Job_Titles,Company_Names,Salary,Job_Location,Job_Link,Joblist_Date
SMB Data Research Analyst,Forbes Advisor,"₹25,000 - ₹35,000","Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/smb-data-research-analyst-at-forbes-advisor-3687041708?refId=phKXjcXg8Pn6dMVl4nlYbg%3D%3D&trackingId=BkJJoA6rUE%2FFFTsrB5K4KQ%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,2 days ago
Research Analysis part time job/internship at Gurgaon in Hindustan Times Media Limited,HT Media Group,"₹400,000 - ₹500,000","Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/research-analysis-part-time-job-internship-at-gurgaon-in-hindustan-times-media-limited-at-ht-media-group-3741559585?refId=phKXjcXg8Pn6dMVl4nlYbg%3D%3D&trackingId=slJeXqWnbVbLYau8hYP8yg%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,2 weeks ago
Performance Analyst/Business Intelligence,PSA BDP,"₹1,000,000 - ₹1,500,000","Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/performance-analyst-business-intelligence-at-psa-bdp-3744102485?refId=phKXjcXg8Pn6dMVl4nlYbg%3D%3D&trackingId=BuQeKK0UNJPuOEUVfvGvnA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,1 day ago
Senior Manager - WFM & Analytics,Myntra,"₹600,000 - ₹700,000","Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-manager-wfm-analytics-at-myntra-3736271175?refId=phKXjcXg8Pn6dMVl4nlYbg%3D%3D&trackingId=HrXfehYdP8JvGi2Gqxqt1w%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,3 weeks ago
Analytics Manager,Simpl,"₹700,000 - ₹1,000,000","Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/analytics-manager-at-simpl-3747021231?refId=phKXjcXg8Pn6dMVl4nlYbg%3D%3D&trackingId=2WYuQkuVki%2BHqcBAEjayng%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,3 weeks ago
Lead-Data Analysis,Tesco Bengaluru,"₹1,000,000 - ₹1,500,000","Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/lead-data-analysis-at-tesco-bengaluru-3756229566?refId=phKXjcXg8Pn6dMVl4nlYbg%3D%3D&trackingId=uLukRlUB6bUWWMCoCpzmtA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,3 weeks ago
Education - Data Research Analyst,Forbes Advisor,"₹600,000 - ₹800,000","Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/education-data-research-analyst-at-forbes-advisor-3687630069?refId=phKXjcXg8Pn6dMVl4nlYbg%3D%3D&trackingId=3Wd3VWThb78s0csXEXtLDg%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,2 weeks ago
Data Analyst,V-Guard,"₹400,000 - ₹600,000","Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/data-analyst-at-v-guard-3755934034?refId=phKXjcXg8Pn6dMVl4nlYbg%3D%3D&trackingId=yzNUVeqoiOMUy2E7rG%2F6JA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,2 days ago
Data Analyst / Data Science (Entry Level),Elitemet Solutions,"₹40,000 - ₹50,000",India,https://in.linkedin.com/jobs/view/data-analyst-data-science-entry-level-at-elitemet-solutions-3748165067?refId=phKXjcXg8Pn6dMVl4nlYbg%3D%3D&trackingId=Yyx5rdI%2ByKQOWJCHYpYhBQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,1 week ago
Data Analyst - Freshers,Elitemet Solutions,"₹800,000 - ₹1,000,000",India,https://in.linkedin.com/jobs/view/data-analyst-freshers-at-elitemet-solutions-3748164125?refId=phKXjcXg8Pn6dMVl4nlYbg%3D%3D&trackingId=Ff1BGXARhlrlYfVyJu5ajg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,1 month ago
Data Analyst (Any Fresher),Ovidtech Technologies,"₹300,000 - ₹600,000",India,https://in.linkedin.com/jobs/view/data-analyst-any-fresher-at-ovidtech-technologies-3753066036?refId=rRBDHtMAhhU4NVYOaN5lBg%3D%3D&trackingId=Jb%2Bt%2BGceFq2fAH1BoghPgA%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card,1 week ago
Head of Analytics,GEDU Global Education,"₹6,600,000 - ₹9,000,000","Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/head-of-analytics-at-gedu-global-education-3742189190?refId=rRBDHtMAhhU4NVYOaN5lBg%3D%3D&trackingId=0ZDe%2F%2FTnIL9OSi9Z%2Brcd6w%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card,2 weeks ago
"Data Analyst, Data Extraction",Ryan,"₹10,000 - ₹40,000","Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-analyst-data-extraction-at-ryan-3747060527?refId=rRBDHtMAhhU4NVYOaN5lBg%3D%3D&trackingId=7DqbmPBfYOnmi%2Fvvu7BX6Q%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card,3 weeks ago
Data Analyst,Mastech Digital,"₹2,500,000 - ₹2,800,000","Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-analyst-at-mastech-digital-3747465234?refId=rRBDHtMAhhU4NVYOaN5lBg%3D%3D&trackingId=2BBhFHkJ1IZu13OysgU%2B5A%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card,1 month ago
